Date,AIG,AXP,BAC,BK,BLK,C,GS,JPM,MET,MS,PRU,SCHW,TROW,USB,WFC,AAPL,AMZN,BA,COST,DIS,GOOGL,HD,MCD,META,MSFT,NFLX,NKE,PEP,SBUX,TSLA
2020-03-16,20.36836624145508,79.78651428222656,17.94562530517578,24.74001121520996,314.3343505859375,33.53615951538086,136.3229217529297,75.73200225830078,22.265771865844727,26.52681350708008,33.2317008972168,28.30048942565918,78.62114715576172,25.66271209716797,23.06780242919922,58.6357650756836,84.4574966430664,129.61000061035156,259.8129272460937,93.45208740234376,53.33016204833984,145.38174438476562,132.03634643554688,145.2133331298828,129.38363647460938,298.8399963378906,62.49820327758789,96.6839599609375,52.24660873413086,29.67133331298828
2020-03-17,19.4923038482666,80.44622802734375,19.297691345214844,25.409801483154297,340.2708740234375,32.770835876464844,139.85745239257812,80.36026000976562,23.619997024536133,28.32040786743164,35.85343933105469,31.189815521240234,87.13207244873047,26.568824768066406,25.792415618896484,61.213985443115234,90.39199829101562,124.13999938964844,281.658203125,91.99635314941406,55.56972885131836,153.03155517578125,130.80467224121094,148.60472106933594,140.03662109375,319.75,65.35218811035156,109.19159698486328,52.594383239746094,28.68000030517578
2020-03-18,16.45238494873047,68.5251693725586,18.252910614013672,24.383913040161133,328.4815673828125,29.6606502532959,123.41867065429688,71.90082550048828,23.412296295166016,25.77249336242676,35.40114974975586,30.022972106933597,87.37386322021484,26.00152015686035,24.47798538208008,59.71546173095703,91.5,101.88999938964844,282.1261291503906,87.34392547607422,54.2342414855957,137.15904235839844,121.66021728515624,146.15818786621094,134.1416473388672,315.4700012207031,63.66786956787109,103.3780517578125,50.231292724609375,24.08133316040039
2020-03-19,18.046810150146484,71.60995483398438,18.61287879943848,25.43523597717285,349.5967102050781,32.2741813659668,131.765869140625,73.10931396484375,22.265771865844727,25.91497611999512,34.01362609863281,29.46733283996582,82.69929504394531,26.1669864654541,24.625965118408203,59.2579231262207,94.04650115966795,97.70999908447266,280.03424072265625,93.37339782714844,55.25213623046875,142.00631713867188,132.47055053710938,152.2945098876953,136.34866333007812,332.0299987792969,65.82007598876953,100.31739807128906,54.76129150390625,28.50933265686035
2020-03-20,16.846607208251953,68.86895751953125,17.269590377807617,24.646747589111328,312.0821228027344,30.987768173217773,121.99959564208984,71.56655883789062,20.255205154418945,24.867311477661133,32.396114349365234,28.4764461517334,72.8102035522461,25.66271209716797,23.06780242919922,55.49589920043945,92.30449676513672,95.01000213623048,266.4555358886719,84.57015991210938,53.09208679199219,134.0920867919922,131.5755615234375,148.91307067871094,131.22760009765625,332.8299865722656,63.115760803222656,88.8528060913086,51.74723052978516,28.50200080871582
2020-03-23,16.907928466796875,64.07450866699219,15.873627662658691,23.30715560913086,288.0636291503906,28.81390190124512,118.96742248535156,67.73538970947266,19.54901885986328,23.308393478393555,30.0656852722168,26.39280128479004,68.84490203857422,22.794662475585938,21.97970199584961,54.316925048828125,95.1415023803711,105.62000274658205,261.9690856933594,84.35376739501953,52.39228439331055,143.11671447753906,121.4830093383789,147.29197692871094,129.9186553955078,360.2699890136719,58.76457977294922,89.92147064208984,50.427467346191406,28.952667236328125
2020-03-24,20.08802604675293,78.095458984375,18.463623046875,26.28307342529297,327.0210876464844,33.10464096069336,135.38861083984375,75.79200744628906,22.93872833251953,27.842674255371094,36.39005661010742,28.448659896850582,72.13320922851562,24.583255767822266,25.174373626708984,59.76631164550781,97.00499725341795,127.68000030517578,261.4277648925781,96.51109313964844,56.163665771484375,162.79649353027344,143.50233459472656,160.10166931152344,141.72769165039062,357.32000732421875,67.68220520019531,97.3251495361328,57.85559844970703,33.66666793823242
2020-03-25,22.532228469848636,83.78187561035156,18.52508354187012,26.8256950378418,353.1334533691406,34.08165740966797,136.73719787597656,78.62036895751953,24.70836067199707,28.488039016723636,39.56373977661133,31.64357185363769,74.94598388671875,25.23723030090332,25.217891693115234,59.43706893920898,94.29199981689452,158.72999572753906,257.6843566894531,99.07830047607422,54.752628326416016,160.18780517578125,144.41500854492188,155.35769653320312,140.3709716796875,342.3900146484375,73.93295288085938,96.17955780029295,58.68491744995117,35.95000076293945
2020-03-26,24.10037422180176,86.68084716796875,19.947385787963867,27.978759765625,397.5809020996094,37.468658447265625,146.13328552246094,84.09716796875,27.02632713317871,29.929622650146484,41.89418029785156,31.63432502746582,81.67572784423828,28.507118225097656,26.897924423217773,62.564823150634766,97.77449798583984,180.5500030517578,268.1803283691406,103.63237762451172,57.79935836791992,172.04147338867188,148.28724670410156,162.44879150390625,149.1513214111328,362.989990234375,78.88304901123047,102.81380462646484,62.33209991455078,35.21066665649414
2020-03-27,22.34825897216797,82.44389343261719,18.96406364440918,27.588754653930664,382.1316833496094,35.661163330078125,139.56658935546875,78.10612487792969,25.647178649902344,28.50479507446289,40.659969329833984,31.12499046325684,79.33038330078125,28.18406867980957,26.358230590820312,59.97450256347656,95.00499725341795,162.0,260.867919921875,94.81930541992188,55.18205261230469,167.93458557128906,145.32765197753906,155.9345245361328,143.02706909179688,357.1199951171875,77.88178253173828,102.98479461669922,59.15753173828125,34.29066848754883
2020-03-30,22.52346992492676,83.87478637695312,19.35037040710449,28.82660484313965,400.6162109375,35.8891487121582,140.69480895996094,80.1374282836914,26.610923767089844,29.200443267822266,41.20423889160156,31.791749954223636,79.65277862548828,28.59865379333496,26.044851303100582,61.68605422973633,98.19750213623048,152.27999877929688,267.0976867675781,98.16354370117188,56.97380828857422,172.8258819580078,148.97837829589844,165.04457092285156,153.08770751953125,370.9599914550781,79.89360809326172,107.27655029296876,60.51296615600586,33.47533416748047
2020-03-31,21.244422912597656,79.54496002197266,18.639217376708984,28.555286407470703,387.08489990234375,34.293338775634766,136.26121520996094,77.16333770751953,25.397937774658203,28.49641227722168,39.97002029418945,31.134246826171875,78.70175170898438,27.46651077270508,24.98286819458008,61.56016159057617,97.48600006103516,149.13999938964844,261.6020812988281,95.0160140991211,57.75114822387695,164.5503387451172,146.5150604248047,165.88992309570312,150.68003845214844,375.5,77.42326354980469,102.67704010009766,58.62248611450195,34.93333435058594
